



name                                 #n       tsub       ttot       tavg
..b/python2.6/pkgutil.py.__init__:17 84       0.000132   0.000132   0.000002   
../NANHOU-PROJECT/level.py.topEdge:8 30       0.000132   0.000132   0.000004   
..ython2.6/pkgutil.py.load_module:23 1        0.000009   0.000129   0.000129   
..on2.6/sre_compile.py._mk_bitmap:26 1        0.000117   0.000129   0.000129   
..lib/python2.6/posixpath.py.split:7 12       0.000081   0.000128   0.000011   
..python2.6/sre_parse.py.opengroup:7 23       0.000089   0.000127   0.000006   
..thon2.6/sre_compile.py.isstring:48 26       0.000089   0.000126   0.000005   
..s/pkg_resources.py._initialize:265 1        0.000057   0.000124   0.000124   
..NHOU-PROJECT/SoundHandler.py.load: 1        0.000123   0.000123   0.000123   
..lib/python2.6/random.py.__init__:9 1        0.000004   0.000122   0.000122   
..sr/lib/python2.6/random.py.seed:99 1        0.000021   0.000118   0.000118   
..U-PROJECT/EntityTypes.py.release:7 54       0.000108   0.000108   0.000002   
..OU-PROJECT/engine.py.addEntities:8 2        0.000041   0.000105   0.000052   
..ges/pkg_resources.py._added_new:67 54       0.000099   0.000099   0.000002   
../python2.6/posixpath.py.normcase:4 68       0.000093   0.000093   0.000001   
..ython2.6/threading.py.Condition:17 4        0.000026   0.000091   0.000023   
..b/python2.6/threading.py.__stop:58 1        0.000014   0.000089   0.000089   
..ib/python2.6/threading.py.Event:35 2        0.000009   0.000088   0.000044   
..python2.6/threading.py.__init__:36 2        0.000018   0.000079   0.000039   
..-packages/pkg_resources.py.cls:260 43       0.000075   0.000075   0.000002   
..sr/lib/python2.6/os.py.urandom:747 1        0.000021   0.000073   0.000073   
..b/python2.6/sre_parse.py.isname:22 4        0.000046   0.000071   0.000018   
..hon2.6/sre_parse.py.__setitem__:14 37       0.000070   0.000070   0.000002   
<string>.<module>:1                  1        0.000053   0.000070   0.000070   
..ython2.6/threading.py.notifyAll:29 1        0.000008   0.000068   0.000068   
..6/distutils/util.py.get_platform:1 1        0.000024   0.000068   0.000068   
..python2.6/threading.py.__init__:18 4        0.000058   0.000065   0.000016   
<string>.<module>:1                  1        0.000049   0.000065   0.000065   
..OU-PROJECT/engine.py.stopEngine:12 1        0.000015   0.000062   0.000062   
..python2.6/sre_parse.py.getwidth:14 122      0.000000   0.000062   0.000001   
..lib/python2.6/pkgutil.py.<module>: 1        0.000043   0.000062   0.000062   
..NHOU-PROJECT/engine.py.checkType:2 27       0.000059   0.000059   0.000002   
..b/python2.6/threading.py.notify:27 1        0.000013   0.000058   0.000058   
..thon2.6/collections.py.<genexpr>:6 13       0.000055   0.000055   0.000004   
..ython2.6/threading.py._is_owned:22 3        0.000045   0.000055   0.000018   
..ages/pkg_resources.py.__init__:153 30       0.000054   0.000054   0.000002   
..ages/pkg_resources.py.__init__:114 2        0.000014   0.000054   0.000027   
..ackages/zope/__init__.py.<module>: 1        0.000043   0.000052   0.000052   
..ANHOU-PROJECT/engine.py.__init__:9 1        0.000028   0.000049   0.000049   
../pkg_resources.py.has_resource:115 1        0.000006   0.000043   0.000043   
..b/python2.6/pkgutil.py.__init__:22 19       0.000043   0.000043   0.000002   
..sources.py.get_resource_stream:127 1        0.000006   0.000036   0.000036   
..thon2.6/collections.py.<genexpr>:6 13       0.000034   0.000034   0.000003   
..hon2.6/threading.py._set_daemon:44 2        0.000016   0.000034   0.000017   
../python2.6/sre_parse.py.__init__:7 13       0.000031   0.000031   0.000002   
..thon2.6/distutils/log.py.<module>: 1        0.000025   0.000031   0.000031   
..sre_compile.py._identityfunction:2 19       0.000027   0.000027   0.000001   
..U-PROJECT/engine.py.entityCount:11 1        0.000016   0.000026   0.000026   
../pkg_resources.py.Distribution:205 1        0.000025   0.000025   0.000025   
../python2.6/sre_parse.py.isident:21 16       0.000025   0.000025   0.000002   
..python2.6/threading.py._newname:40 2        0.000022   0.000022   0.000011   
..-PROJECT/SoundHandler.py.stopAll:1 1        0.000012   0.000021   0.000021   
..kg_resources.py.ResourceManager:84 1        0.000021   0.000021   0.000021   
..lib/python2.6/string.py.replace:51 3        0.000012   0.000019   0.000006   
<string>.SplitResult:1               1        0.000017   0.000017   0.000017   
../python2.6/threading.py.__init__:5 8        0.000016   0.000016   0.000002   
<string>.ParseResult:1               1        0.000016   0.000016   0.000016   
..r/lib/python2.6/random.py.Random:7 1        0.000014   0.000014   0.000014   
..n2.6/threading.py.currentThread:80 2        0.000010   0.000014   0.000007   
..b/python2.6/threading.py.daemon:68 2        0.000010   0.000013   0.000006   
...6/distutils/dep_util.py.<module>: 1        0.000013   0.000013   0.000013   
..ython2.6/urlparse.py.ResultMixin:6 1        0.000012   0.000012   0.000012   
..ROJECT/SoundHandler.py.stopMusic:3 1        0.000008   0.000011   0.000011   
..kg_resources.py._set_parent_ns:183 1        0.000007   0.000011   0.000011   
..lib/python2.6/threading.py._note:6 6        0.000010   0.000010   0.000002   
..es/pkg_resources.py.EntryPoint:192 1        0.000010   0.000010   0.000010   
..n2.6/threading.py._release_save:21 2        0.000006   0.000010   0.000005   
..6/threading.py._acquire_restore:21 2        0.000007   0.000010   0.000005   
..thon2.6/pkgutil.py.simplegeneric:3 1        0.000009   0.000009   0.000009   
